,SocialPain,Mentalizing,BetweenNetworks,SP_I,Ment_I,Across_I,SP_E,Ment_E,Across_E
p32,-0.0560467236018,0.141072913942,0.0141805109998,0.153051941086,0.0887124835364,-0.00100554296632,0.097005217484,0.229785397478,0.0131749680335
p28,0.0274795384617,-0.0078232724522,-0.198691471439,0.263061003136,0.151572118707,0.0996932069885,0.290540541598,0.143748846254,-0.0989982644508
p20,0.0832306744648,0.266945725243,-0.467576748927,0.14767089219,0.127331021602,0.151981488033,0.230901566655,0.394276746845,-0.315595260894
p66,0.482045998697,-0.00409740535841,-0.0725150513035,-0.0875215335588,0.0662980264863,0.00748609723188,0.394524465138,0.0622006211279,-0.0650289540716
p6,-0.068538112033,0.092012564801,0.0120927741894,0.28831853079,0.135764008285,0.123788511252,0.219780418757,0.227776573086,0.135881285441
p45,-0.410131739489,-0.059493872508,0.0192430937919,0.218690209005,0.109391993703,0.002585876075,-0.191441530484,0.0498981211948,0.0218289698669
p44,0.285542224478,-0.0730661513361,-0.18099407605,-0.0316989604502,0.181929133406,0.168134304614,0.253843264028,0.10886298207,-0.0128597714353
p51,0.0781479385402,-0.0191878495802,0.14129693698,0.282864884402,0.116943412491,-0.109719051849,0.361012822942,0.0977555629111,0.0315778851309
p25,-0.0899021042929,0.0428404036585,-0.25091817681,0.468603201109,0.232409418016,0.0130077652638,0.378701096816,0.275249821674,-0.237910411546
p60,-0.188495671519,0.268695511079,-0.0490932548211,0.66828888234,0.121630897916,-0.0765844156719,0.479793210821,0.390326408995,-0.125677670493
p5,-0.471218543203,0.137139825375,-0.173886633064,0.712516071624,0.166934822786,0.0857603516417,0.241297528421,0.304074648161,-0.0881262814228
p56,-0.0491076813313,-0.0884665601688,-0.099930148224,0.140308382285,0.167559600383,0.141903148478,0.0912007009542,0.0790930402144,0.0419730002535
p62,-0.0579356770589,-0.00229202695895,0.052460712411,0.154174931045,0.0716065258863,0.00057151476225,0.0962392539857,0.0693144989274,0.0530322271733
p79,-0.150507143788,0.0326895346121,0.0273032400525,0.251384915556,0.169541814503,-0.0889332594584,0.100877771768,0.202231349115,-0.0616300194059
p2,0.115712975558,0.108571188306,0.137264308123,0.243971497269,0.013391838541,-0.0718109370298,0.359684472826,0.121963026847,0.065453371093
p58,-0.293045587584,0.0308823531288,-0.0160994492451,0.259291052783,0.188164007968,0.111749727407,-0.0337545348012,0.219046361097,0.0956502781621
p55,0.228837580033,0.356518189025,-0.276357381947,0.129281122071,-0.0180912222497,0.0653493025788,0.358118702104,0.338426966775,-0.211008079368
p13,0.113202577524,0.152324364173,-0.0864073595049,0.0810615906675,0.0450715967934,0.0338559270404,0.194264168191,0.197395960966,-0.0525514324645
p37,0.165910132097,0.0587261964032,-0.0396290273816,0.27525848847,0.105436482344,0.0693315359349,0.441168620567,0.164162678747,0.0297025085533
p48,0.178916301401,0.00529026204311,0.0468731228462,-0.138835647019,0.017585183413,0.0182810831452,0.0400806543814,0.0228754454561,0.0651542059913
p23,0.11958766436,0.0100629891729,-0.128513134888,0.184773880535,0.0450377874375,0.013650409534,0.304361544895,0.0551007766104,-0.114862725354
p53,0.24887238534,0.292636233764,0.0682744320902,0.189118863295,0.059610695642,-0.00470083468113,0.437991248635,0.352246929406,0.063573597409
p67,-0.348625885355,0.126352280134,0.0256295879101,0.387194399874,0.0183680518169,-0.056386504665,0.0385685145186,0.144720331951,-0.0307569167549
p26,-0.0168592361601,0.0736687264803,0.141819699043,0.167299570468,0.137709984332,-0.0786800451296,0.150440334308,0.211378710813,0.0631396539131
p35,0.284938388617,0.155052186624,0.0349410416231,-0.132544555424,0.0867476244751,-0.00640408737258,0.152393833193,0.2417998111,0.0285369542505
p54,-0.415163935672,-0.0250627978113,-0.0416740475097,0.469091581009,0.122197419358,0.113086670989,0.0539276453369,0.0971346215469,0.0714126234795
p10,-0.0174501820139,0.0189310744862,-0.0719755773497,0.265918013645,0.0958496709091,0.0737886641357,0.248467831631,0.114780745395,0.00181308678601
p47,-0.250658571613,-0.00645649300855,0.0328442541559,0.136163571463,0.118412298299,-0.0720195526299,-0.11449500015,0.11195580529,-0.0391752984741
p41,0.134288310046,0.0118008547308,0.212285764763,0.119651755881,0.299493816481,-0.149297929668,0.253940065928,0.311294671212,0.0629878350952
p71,0.2298858826,0.236073834275,-0.0770807565323,-0.0604953557247,0.0581732617618,-0.0168265739941,0.169390526875,0.294247096037,-0.0939073305264
p4,0.118511667892,-0.0301779032921,-0.0545224686514,0.180425960366,0.0551107720206,0.054200943908,0.298937628258,0.0249328687285,-0.000321524743459
p69,0.119391258302,-0.12887896034,0.0310507440267,0.182317897431,0.189590126668,-0.0881971420328,0.301709155733,0.0607111663278,-0.0571463980062
p36,0.186524577415,0.0869077788045,-0.038854783281,-0.102698681998,-0.0331748851915,0.00584176433355,0.0838258954169,0.053732893613,-0.0330130189475
p22,-0.201167457516,0.1359166452,0.0033759408229,-0.0211136345254,-0.0381152725515,-0.0144203342027,-0.222281092041,0.0978013726486,-0.0110443933798
p27,-0.0754938578038,-0.0259366342496,0.0100208439894,0.113474382536,0.148390101052,0.0105870027675,0.0379805247324,0.122453466802,0.0206078467569
p73,0.205751678497,-0.0108399008149,0.103009649328,-0.228372077857,0.0363173042207,-0.0285071428411,-0.0226203993606,0.0254774034057,0.0745025064872
p17,0.0714359602131,-0.00430097254851,-0.0210099109894,-0.0300186744098,0.0633948664083,-0.0227868411474,0.0414172858034,0.0590938938598,-0.0437967521368
p1,0.15463272183,-0.0909749071521,-0.167848568054,0.10028604289,0.183786787391,0.0569686805437,0.25491876472,0.0928118802393,-0.11087988751
p34,0.013457071468,-0.0991890786532,0.0488083162869,-0.0182694292768,0.178560512767,-0.130852333699,-0.00481235780878,0.0793714341135,-0.0820440174121
p18,-0.012770622995,0.0484502324965,-0.0574194768766,0.201027699949,0.025479724797,0.0282646423378,0.188257076954,0.0739299572935,-0.0291548345388
p15,-0.097310689717,0.0118426161086,0.069802993225,0.200040669283,0.176835713539,-0.11019498347,0.102729979566,0.188678329648,-0.0403919902447
p19,-0.087080907683,-0.0650265922587,0.0125873454526,-0.0261965701315,0.0888372296356,0.0253328499745,-0.113277477814,0.0238106373769,0.0379201954271
p75,-0.0977149217736,-0.0203820965812,0.158984271503,0.289048079737,0.165790592728,0.0845647513686,0.191333157963,0.145408496147,0.243549022871
p30,-0.00939184362902,-0.0999357950576,0.115159970362,0.0447234856434,0.101871385834,-0.040792983562,0.0353316420144,0.0019355907768,0.0743669868002
p74,0.217654628253,0.0928502411273,-0.119608679566,0.0210496816831,0.178191005333,0.0292004035284,0.238704309936,0.27104124646,-0.0904082760376
p61,0.196336811105,0.188413501713,-0.122474667917,0.0631431178861,0.0599708432105,-0.0596440851679,0.259479928991,0.248384344923,-0.182118753084
p29,0.125580333346,-0.0128999265596,0.165625894616,0.0511306155544,0.117515159248,-0.0389815522395,0.1767109489,0.104615232689,0.126644342376
p33,0.164785078404,0.0751843815917,0.180823043608,0.138332948978,0.214224533649,0.0113712715792,0.303118027382,0.289408915241,0.192194315188
p24,-0.0251770869832,0.00202846082872,0.0629252514319,0.0382284779497,0.0280670868836,-0.0166377816646,0.0130513909666,0.0300955477124,0.0462874697674
p38,0.106905099416,0.126871285462,-0.0819920132891,0.167111346332,0.0730536834822,-0.0689003009275,0.274016445748,0.199924968945,-0.150892314217
p68,0.0493637101845,0.0171883480006,-0.0678220352746,0.11593685608,-0.0305496957787,0.0145364589667,0.165300566264,-0.0133613477781,-0.0532855763079
p78,-0.14547340818,0.0806445972932,0.0170889930367,0.30542072496,0.0976883623304,-0.0679324031176,0.15994731678,0.178332959624,-0.050843410081
p77,0.177501984863,0.116496895451,0.130778919184,0.181648688037,0.0592722648821,-0.0593462794785,0.359150672901,0.175769160333,0.0714326397052
p40,0.323518687732,-0.107004688296,0.120873024987,0.0700396854575,0.364393631176,-0.126771079403,0.39355837319,0.25738894288,-0.00589805441588
p80,-0.105899319306,-0.154740946185,0.0551831032341,0.32906883565,0.153690367108,-0.0723719989745,0.223169516344,-0.00105057907653,-0.0171888957403
p7,0.131008529665,0.0220152881022,0.0174248961911,0.40201351818,0.164578893011,-0.102780653155,0.533022047844,0.186594181113,-0.085355756964
p63,-0.0692853094598,-0.1154689994,0.0372251142157,0.477566542691,0.171159813864,-0.106472722094,0.408281233231,0.0556908144633,-0.0692476078783
p39,0.125786509247,-0.00264401070439,-0.129572812611,0.0858956276568,0.100181989414,0.0422823466125,0.211682136904,0.0975379787101,-0.0872904659983
p50,0.121898895274,0.138604283456,-0.0954216603234,0.677837429394,-0.0470752616709,-0.0303803254764,0.799736324668,0.0915290217851,-0.1258019858
p43,0.0233789221976,-0.0701801153007,0.102179481244,0.389188169065,0.225908458885,-0.172291949847,0.412567091263,0.155728343585,-0.0701124686031
p31,0.300417473897,-0.0611288714797,-0.03387125433,0.102769878991,0.22748997504,0.0247390635708,0.403187352888,0.16636110356,-0.0091321907592
p65,-0.123363736825,0.200431056207,0.141735190063,0.219553912355,0.141453034657,0.0746477840411,0.0961901755293,0.341884090864,0.216382974104
p57,-0.221940976334,-0.0927366027346,-0.0598656673842,0.145801788409,0.141159083809,0.0953470999655,-0.0761391879247,0.0484224810748,0.0354814325814
p70,0.427377365432,0.142689918736,-0.000729850801001,-0.0192025108682,0.038482570792,-0.118895389262,0.408174854564,0.181172489528,-0.119625240063
p14,-0.457353773322,0.0550437125347,-0.00442309573175,0.495777937743,0.0597428311917,-0.100389588478,0.0384241644212,0.114786543726,-0.104812684209
p16,-0.0902985787035,0.0810901854515,-0.0977455897627,0.278741353037,0.0540749768335,0.0624250336604,0.188442774334,0.135165162285,-0.0353205561024
p52,0.0293846477519,-0.0466938698922,-0.0719891144171,0.258687784136,0.184893767511,0.0277522260276,0.288072431888,0.138199897619,-0.0442368883895
p42,-0.0795004280668,0.04358559827,0.000563397937682,0.328800161975,0.178749181868,0.00683296756558,0.249299733908,0.222334780138,0.00739636550327
p72,0.0828636974432,0.0524515958028,-0.12170851694,0.437703506016,0.193939636262,-0.00724292189901,0.520567203459,0.246391232064,-0.128951438839
p8,0.0168105641548,0.160463957725,0.119037942506,0.00173958816149,0.109523904563,-0.0565168641368,0.0185501523163,0.269987862288,0.0625210783694
p49,-0.0850603582684,0.00552573745975,-0.157269918571,0.227710851076,0.0190742262595,0.0323926906836,0.142650492808,0.0245999637193,-0.124877227888
p9,-0.10375783186,0.127113328456,0.0156107687093,0.233303484676,0.0208523067016,-0.0465633755955,0.129545652816,0.147965635157,-0.0309526068862
p12,0.0655638888052,0.0760586807127,-0.377102414813,0.277220169668,0.212039008376,0.200493955402,0.342784058473,0.288097689089,-0.176608459411
p76,-0.295197236771,-0.0523942441168,-0.142205184305,0.432240928808,0.18357053968,0.166908307992,0.137043692037,0.131176295564,0.0247031236868
p11,0.256071272605,-0.0105703712895,-0.00802987516445,0.350827330061,0.0605439924337,0.0308222144714,0.606898602666,0.0499736211442,0.022792339307
p46,0.192060991381,-0.0677428163236,0.0190236425503,0.110768933841,0.0792260758066,0.025979020833,0.302829925222,0.0114832594829,0.0450026633833
p59,0.296507622625,-0.025531102446,0.0819602681188,0.0553381517408,0.0867447861342,-0.10342825894,0.351845774366,0.0612136836883,-0.0214679908212
p64,0.193900202178,0.106081213166,0.0343897337893,0.0327805264136,0.014335812333,0.0304343230943,0.226680728591,0.120417025499,0.0648240568836
p3,0.0204691636742,0.181409215673,-0.0277211312882,-0.0555186081757,0.0801096555876,0.00180753984456,-0.0350494445015,0.261518871261,-0.0259135914436
p21,0.134147857134,0.117890431308,-0.00694543515128,0.0859774766031,0.0717388601733,0.0339853501511,0.220125333738,0.189629291482,0.0270399149998
